"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0013811",256.93727756994,-1.08773777354941,0.209629426328435,-5.18886013571974,2.11585236163295e-07,1.13094085257591e-05
"FBgn0263232",179.501736558819,1.10229523949873,0.245857873877859,4.48346527248642,7.34405591673548e-06,0.000255117750295331
"FBgn0035266",280.986588814952,1.08197314497991,0.205548882884682,5.26382401011112,1.41089514660218e-07,8.01690777944312e-06
"FBgn0037153",79.0393207743717,2.08365692633802,0.371279350701203,5.61210022157925,1.99885607080692e-08,1.35905128574949e-06
"FBgn0262733",230.012755628268,1.88794503684445,0.227784387445618,8.28829867584836,1.14879808278507e-16,2.61105392815863e-14
"FBgn0035189",157.139266738847,3.09282885716513,0.320881724257674,9.63853227951844,5.49682607678356e-22,1.90118484525275e-19
"FBgn0040827",105.481806061586,-2.16229016229283,0.323314733866766,-6.68788006173541,2.26426583730156e-11,2.46742941585396e-09
"FBgn0001225",321.3341436861,1.38938835807409,0.228130363464464,6.09032632471352,1.12680766018571e-09,9.85028015030473e-08
"FBgn0000567",167.918308496355,-1.32225599829334,0.263943765860074,-5.00961253615788,5.45397275598481e-07,2.55213842787407e-05
"FBgn0036373",2695.83559888716,-1.05465947901862,0.127236046948829,-8.28899910292539,1.14205406206226e-16,2.61105392815863e-14
"FBgn0050463",30.3600859158202,1.93529488951098,0.576437069287865,3.3573394089694,0.000786964438458958,0.0145588421114907
"FBgn0033446",46.6960803908334,-1.56988154916108,0.478011910838006,-3.28418918768971,0.00102276240886305,0.0179208699614659
"FBgn0265512",43.6084649872255,-2.20123024120489,0.50386123726729,-4.36872312929516,1.24975087522538e-05,0.000410816868281732
"FBgn0034718",355.946122609072,1.22017115155735,0.185094705015665,6.59214509379991,4.33516597169801e-11,4.59816604064769e-09
"FBgn0015522",78.1322368947135,-1.43602188118306,0.371611673475652,-3.86430778062506,0.000111404678684524,0.00266935005703431
"RR48532_transposable_element",76.4847105604364,1.50859077067495,0.37101639762307,4.06610268532548,4.78058782561386e-05,0.00127616027358249
"FBgn0063498",198.008219075453,-1.6176258247267,0.240478293888105,-6.72670201776873,1.73551639155416e-11,1.97229041354476e-09
"FBgn0033113",331.805958974998,1.26609488890985,0.201601335965024,6.28019096624197,3.38157409204933e-10,3.28053925637225e-08
"FBgn0033362",67.516358359291,-1.23578359155299,0.383235779865201,-3.22460390307937,0.00126147070979627,0.0211952621342125
"FBgn0033363",68.1213706569256,-1.15105925816038,0.397215165924899,-2.89782303623826,0.00375762545657218,0.0498198508450528
"FBgn0034391",47.2970826652666,1.57147087313003,0.477455794286581,3.2913431817874,0.000997101919818302,0.0175485525932624
"FBgn0035085",372.899717244612,-2.658934079317,0.198311312000004,-13.4078790186056,5.43716475143689e-41,6.17894937109721e-38
"FBgn0034389",62.6127606010217,-1.89973558407855,0.402654185583509,-4.71803262475848,2.38136312259289e-06,9.10756905780116e-05
"FBgn0260429",39.5215748182202,-1.48117210804939,0.496608943492489,-2.9825723589124,0.00285837072164362,0.040102890812478
"FBgn0015371",237.974324386173,-1.00109739851915,0.223154595033813,-4.48611599670382,7.25332626949269e-06,0.000253071098569361
"FBgn0034885",119.218644963269,1.84232643406248,0.301762985789777,6.1052101179365,1.02665529146073e-09,9.17645263322488e-08
"FBgn0033775",34.3819365671422,1.88564458055657,0.546838595669946,3.44826534829061,0.000564199464709511,0.0112205168544104
"FBgn0003748",691.181835976584,1.13335788335871,0.147191138928458,7.69990565742942,1.36166726081411e-14,2.51908443250611e-12
"FBgn0011260",132.946801464727,2.14973855779313,0.294450020622786,7.30086061208711,2.85932848452623e-13,4.06177823114395e-11
"FBgn0261584",93.8519057232277,-2.47573995414341,0.351012234761813,-7.05314433220079,1.74919243290905e-12,2.24432674254702e-10
"FBgn0034636",12.069271171806,-3.58881144410268,1.12601281989982,-3.18718524396727,0.00143664730302837,0.0235367485885522
"FBgn0033724",112.592685767411,1.38834598144338,0.344626552354738,4.02855198462567,5.61214520584495e-05,0.00147341964067645
"FBgn0261596",10923.8020406989,-1.04370915188668,0.118738864825945,-8.78995393308346,1.4962130534678e-18,4.25084815726299e-16
"FBgn0033368",46.9176212186163,1.42260993109123,0.465545252863875,3.05579301333183,0.00224466156196022,0.0330671902322102
"FBgn0033782",105.85268257916,-1.10042414374726,0.320497945370663,-3.4334826779454,0.000595880276973718,0.0117332366418959
"FBgn0034736",132.028642934373,-3.38277160836781,0.340837948492459,-9.92486788319774,3.24532226830855e-23,1.2293589830664e-20
"FBgn0283437",4304.92902680419,1.39835525289205,0.121400214732754,11.5185566678802,1.06377950321882e-30,7.69305995282338e-28
"FBgn0024315",38.863351432827,-2.46814610842091,0.541105752993639,-4.56130080814337,5.08376893072538e-06,0.000183824462926911
"FBgn0022160",956.794475009972,-1.09639058957491,0.142912193742044,-7.67177775994321,1.69628674759101e-14,3.06680933570148e-12
"FBgn0000079",136.741151656358,-1.3030694042047,0.273363002151519,-4.76680967778676,1.87165958379415e-06,7.33450836900613e-05
"FBgn0261673",46.6532948046696,2.67728566682522,0.498578781135895,5.36983475455102,7.88088208319335e-08,4.77131752971111e-06
"FBgn0034010",312.800746600208,-1.56218191503557,0.20101667591403,-7.77140457592522,7.76205431937383e-15,1.50602785635656e-12
"FBgn0010316",256.508221040495,-1.01466316226919,0.22403230182628,-4.5290931441484,5.9237382565063e-06,0.000210372043886195
"FBgn0040091",693.593276514798,-1.57555877990892,0.154980906295412,-10.1661476730928,2.80795388663429e-24,1.21942387427045e-21
"FBgn0041087",878.733189609573,1.22924137097711,0.139004802428003,8.8431575708601,9.30508602675977e-19,2.74155404973607e-16
"FBgn0033065",22.9593225503925,2.57618633561973,0.717229151677116,3.59185949092527,0.000328326868794374,0.00694638362037034
"FBgn0034476",101.181651623586,-1.28324169093454,0.315988202590364,-4.06104304026215,4.88539631651874e-05,0.00129114045507995
"FBgn0264753",69.3101191973616,-3.31830033811767,0.442502299629012,-7.49894484367582,6.43335891730477e-14,1.06619521223249e-11
