"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
568.677484658834,0.00274272496163907,0.0857338415816835,1,1,"FBgn0015331"
5041.76923346032,0.107232246878552,0.113064932951341,1,1,"FBgn0027948"
1135.87948354371,-0.0138357817526511,0.0791302222834975,1,1,"FBgn0011655"
2921.33087365801,-0.191479655043432,0.118093426369858,1,1,"FBgn0266758"
3.49936868336986,-0.0357454540790964,0.275265151337022,0.788792085470662,NA,"FBgn0265067"
5.14922893651662,-0.0375651312229625,0.258062687770842,0.951360530991646,NA,"FBgn0039075"
12.3813818036644,0.0117239097558114,0.211441416568812,1,NA,"FBgn0267798"
8.68457790193981,-0.0537153127066176,0.258543111126288,0.917677535453797,NA,"FBgn0039094"
117.513408854899,0.124180339552748,0.194573750762004,1,1,"FBgn0051223"
1096.06151147555,0.065319653363071,0.105187418181695,1,1,"FBgn0263490"
787.804759423762,0.037869387318542,0.0893818215082716,1,1,"FBgn0262617"
300.963184399762,-0.09226810311972,0.139054608293443,1,1,"FBgn0038360"
269.18409387653,0.627695791328385,0.232942415825835,1,1,"FBgn0051352"
39.9168734731845,3.40370911445145,0.633912512593793,3.52057064857657e-06,0.00118826912803913,"FBgn0037290"
390.340787381031,0.138485599815492,0.153206622851535,1,1,"FBgn0037262"
106.93242057938,0.0452836119289069,0.145403095154114,1,1,"FBgn0037679"
51.6287241287001,0.23543242458913,0.323793446638033,1,1,"FBgn0037896"
836.418410901123,-0.0668348608860434,0.102931545843808,1,1,"FBgn0266668"
1140.38679851182,-0.189034823729631,0.137141072915686,1,1,"FBgn0037363"
1825.5464812803,-0.0350531107916297,0.0772042387448684,1,1,"FBgn0014018"
1071.37182220188,-0.172855906238167,0.13790714882628,1,1,"FBgn0037552"
515.561308079676,-0.0273124097744723,0.0937023502689281,1,1,"FBgn0038597"
790.162354513151,0.00558317408102132,0.079171539791448,1,1,"FBgn0082582"
43.3996348246064,-2.11948802526522,0.558738283356222,0.0033439238919551,0.633143443249937,"FBgn0002868"
2.9599675928313,-0.0251454469031406,0.266167363458396,0.95090391716536,NA,"FBgn0038468"
6.51673385589145,-0.0160983203755657,0.23792869448327,1,NA,"FBgn0010389"
321.828729418528,-0.0510437947347073,0.118746847669,1,1,"FBgn0259152"
12.3991639748874,0.125273076445615,0.355680598757667,0.432412639227164,1,"FBgn0039347"
800.356367476845,-0.0520947897633536,0.0967236628716758,1,1,"FBgn0038881"
15.3833461807497,0.0182258174939958,0.205323998689463,1,1,"FBgn0038014"
4.42634961719953,-0.0114788799218917,0.241202262825544,1,NA,"FBgn0041621"
121.665986700179,0.0523050638166972,0.144764136657161,1,1,"FBgn0037911"
2.85416028707645,-0.0256991782713086,0.273092508371934,0.874810937845017,NA,"FBgn0037685"
3.44113485309651,-0.0125542575174113,0.250157320948219,1,NA,"FBgn0039015"
3.09793878881202,0.000390692714590485,0.251543772638428,1,NA,"FBgn0037254"
4.29324217929657,-0.202681681916006,0.628095393220711,0.0207244844107726,NA,"FBgn0038460"
66.8358428335017,0.173880266407894,0.260372512077809,1,1,"FBgn0261053"
29.9249856440167,-0.103963032374738,0.247961252653212,1,1,"FBgn0037375"
195.748792547865,0.0553091048809695,0.134426758386179,1,1,"FBgn0014930"
